,article,class
0,"NLP is a multidisciplinary field that draws from linguistics and computer science, particularly artificial intelligence ,.  In terms of linguistics, a program must be able to deal with words that have multiple meanings (“wind up the clock” and “the wind is cold today”) as well as grammatical ambiguities (in the phrase “little girl’s school” is it the school that is little, the girls, or both?).  Of course each language has its own forms of ambiguity. Programs can use several strategies for dealing with these problems, including using statistical models to predict the likely meaning of a given phrase based on a “corpus” of existing text in that language ,. As formidable as the task of extracting the correct (literal) meaning from text can be, it is really only the first level of natural language processing.  If a program is to successfully summarize or draw conclusions about a news report from North Korea, for example, it would also have to have a knowledge base of facts about that country and/or a set of “frames” , about how to interpret various situations such as threat, bluff, or compromise. )",0
1,"There are a variety of emerging applications for NLP, including the following:, voice-controlled computer interfaces (such as in aircraft cockpits), programs that can assist with planning or other tasks ,, more-realistic interactions with computer-controlled game characters, robots that interact with humans in various settings such as hospitals, automatic analysis or summarization of news stories and other text, intelligence and surveillance applications (analysis of communication, etc. ), data mining, creating consumer profiles, and other ecommerce applications, search-engine improvements, such as in determining relevancy",0
2,"As each new means of communication and social interaction is introduced, social customs and etiquette evolve in response.  For example, it took time before the practice of saying “hello” and identifying oneself became the universal way to initiate a phone conversation. By the 1980s, a system of topical news postings , carried on the Internet was becoming widely used in universities, the computer industry, and scientific institutions.  Many new users did not understand the system, and posted messages that were off topic.  Others used their postings as to insult or attack (“flame”) other users, particularly in newsgroups discussing perennially controversial topics such as abortion.  When a significant number of postings in a newsgroup are devoted to flaming and counter-flaming, many users who had sought civilized, intelligent discussion leave in protest. In 1984, Chuq von Rospach wrote a document entitled “A Primer on How to Work with the Usenet Community. ” It and later guides to net etiquette or “netiquette” offered useful guidelines to new users and to more experienced users who wanted to facilitate civil discourse. ",0
3,"These suggestions include:, Learn about the purpose of a newsgroup before you post to it.  If a group is moderated, understand the moderator’s guidelines so your postings won’t be rejected. , Before posting, follow some discussions to see what sort of language, tone, and attitude seems to be appropriate for this group Do not post bulky graphics or other attachments unless the group is designed for them. , Avoid “ad hominem” (to the person) attacks when discussing disagreements. , Do not post in ALL CAPS, which is interpreted as “shouting. ”, Check your postings for proper spelling and grammar.  On the other hand, avoid “flaming” other users for their spelling or grammar errors. , When replying to an existing message, include enough of the original message to provide context for your reply, but no more. , If you know the answer to a question or problem raised by another user, send it to that user by e-mail.  That way the newsgroup doesn’t get cluttered up with dozens of versions of the same information. ",0
4,"In recent years there has been growing concern that Internet users may eventually be treated differently by service providers depending on the kind of data they download or the kind of application programs they use online.  Advocates of network (or net) neutrality , want legislation that would bar cable, DSL, or other providers , from making such distinctions, such as by charging content providers higher fees for high volumes of data or even blocking certain applications.  Advocates of net neutrality believe that, since there are rather limited choices for broadband Internet service, discrimination on the basis of Web content could lead to a loss of freedom for consumers and providers alike",0
5,"By the late 1970s, researchers at many major universities were using the UNIX operating system ,.  In 1979, a suite of utilities called UUCP was distributed with the widely used UNIX Version 7.  These utilities could be used to transfer files between UNIX computers that were linked by some form of telephone or network connection. Two Duke University graduate students, Tom Truscott and Jim Ellis, decided to set up a way in which users on different computers could share a collection of files containing text messages on various topics.  They wrote a simple set of shell scripts that could be used for distributing and viewing these message files.  The first version of the news network linked computers at Duke and at the University of North Carolina.  Soon these programs were revised and rewritten in the C language and distributed to other UNIX users as the “A” release of the News software. During the 1980s, the news system was expanded and features such as moderated newsgroups were added.  As the Internet and its TCP/IP protocol , became a more widespread standard for connecting computers, a version of News using the NNTP (Network News Transmission Protocol) over the Internet was released in 1986.  Netnews is a mature system today, with news reading software available for virtually every type of computer",0
6,"Netnews postings are simply text files that begin with a set of standard headers, similar to those used in e-mail.  (Like e-mail, news postings can have binary graphics or program files attached, using a standard called MIME, for Multipurpose Internet Mail Extensions. )The files are stored on news servers—machines that have the spare capacity to handle the hundreds of gigabytes of messages now posted each week.  The files are stored in a typical hierarchical UNIX fashion, grouped into approximately 75,000 different newsgroups. As shown in the following table, the newsgroups are broken down into 10 major categories.  The names of individual groups begin with the major category and then specify subdivisions.  For example, the newsgroup comp. sys. ibm. pc deals with IBM PC-compatible personal computers, while comp. os. linux deals with the Linux operating system. ",0
7,"The servers are linked into a branching distribution system.  Messages being posted by users are forwarded to the nearest major regional “node” site, which in turn distributes them to other major nodes.  In turn, when messages arrive at a major node from another region, they are distributed to all the smaller sites that share the newsfeed.  Due to the volume of groups and messages, many sites now choose to receive only a subset of the total newsfeed.  Sites also determine when messages will expire (and thus be removed from the site). There are dozens of different news reading programs that can be used to view the available newsgroups and postings.  On UNIX systems, programs such as elm and tin are popular, while other newsreaders cater to Windows, Macintosh, and other systems.  Major Web browsers such as Netscape and Internet Explorer offer simplified news reading features.  To use these news readers, the user accesses a newsfeed at an address provided by the Internet Service Provider (ISP).  There are also services that let users simply navigate through the news system by following the links on a Web page.  The former service called DejaNews, now Google Groups, is the best-known and most complete such site",0
8,"In the 1940s, the main objective in developing the first digital computers was to speed up the process of calculation.  In the 1950s, the machines began to be used for more general data-processing tasks by governments and business.  By the 1960s, computers were in use in most major academic, government, and business organizations.  The desire for users to share data and to communicate both within and outside their organization led to efforts to link computers together into networks. Computer manufacturers began to develop proprietary networking software to link their computers, but they were limited to a particular kind of computer, such as a DEC PDP minicomputer, or an IBM mainframe.  However, the U. S.  Defense Department, seeing the need for a robust, decentralized network that could maintain links between their computers under wartime conditions, funded the development of a protocol that, given appropriate hardware to bridge the gap, could link these disparate networks ,. ",0
9,"According to the OSI (open systems interconnection) model, a network can be considered to be a series of seven layers laid one atop another ,. The physical layer is at the bottom.  It specifies the physical connections between the computers, which can be anything from ordinary phone lines to cable, fiber optic, or wireless.  This layer specifies the required electrical characteristics (such as voltage changes and durations that constitute the physical signal that is recognized as either a 1 or 0 in the “bit stream. ”The next layer, called the data link layer, specifies how data will be grouped into chunks of bits (frames or packets) and how transmission errors will be dealt with ,. The network layer groups the data frames as parts of a properly formed data packet and routes that packet from the sending node to the specified destination node.  A variety of routing algorithms can be used to determine the most efficient route given current traffic or line conditions. The transport layer views the packets as part of a complete transmission of an object (such as a Web page) and ensures that all the packets belonging to that object are sorted into their original sequence at the destination.  This is necessary because packets belonging to the same message may be sent via different routes in keeping with traffic or line conditions. The session layer provides application programs communicating over the network with the ability to initiate, terminate, or restart an interrupted data transfer. The presentation layer ensures that data formats are consistent so that all applications know what to expect.  This layer can also provide special services ,. Finally, the application layer gives applications highlevel commands for performing tasks over the network, such as file transfer protocol (ftp)",0
